pp_mecn_1mM,,pp_mecn_500uM,,pp_mecn_250uM,,pp_mecn_125uM,,pp_mecn_62uM,,pp_mecn_31uM,,pp_mecn_15uM,,pp_mecn_7uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
759.5366211,-0.003823356004,759.5366211,-0.004110232461,759.5366211,-0.003925569821,759.5366211,-0.004065766465,759.5366211,-0.003871746361,759.5366211,-0.00402981136,759.5366211,-0.004206174519,759.5366211,-0.003994878847,
758.9723511,-0.004393946845,758.9723511,-0.004745436367,758.9723511,-0.003711211262,758.9723511,-0.004167461768,758.9723511,-0.003752120538,758.9723511,-0.004012319725,758.9723511,-0.00399267301,758.9723511,-0.004117104225,
758.5491333,-0.00411746325,758.5491333,-0.00415859092,758.5491333,-0.004145258106,758.5491333,-0.003824844258,758.5491333,-0.004370575771,758.5491333,-0.003970152233,758.5491333,-0.003929058556,758.5491333,-0.004147617146,
757.9846802,-0.004727205262,757.9846802,-0.004229964688,757.9846802,-0.004307785537,757.9846802,-0.004290203098,757.9846802,-0.003969690762,757.9846802,-0.004753015004,757.9846802,-0.004074639641,757.9846802,-0.00469535077,
757.5612793,-0.004039146472,757.5612793,-0.004514933098,757.5612793,-0.003774447134,757.5612793,-0.004060843028,757.5612793,-0.004256316926,757.5612793,-0.004454982467,757.5612793,-0.004613091238,757.5612793,-0.00436099153,
756.9966431,-0.004052431323,756.9966431,-0.004347203765,756.9966431,-0.003988415003,756.9966431,-0.004432639573,756.9966431,-0.004371601157,756.9966431,-0.004270004574,756.9966431,-0.004582765047,756.9966431,-0.004597262479,
756.4318848,-0.004474813119,756.4318848,-0.004477477632,756.4318848,-0.004588348791,756.4318848,-0.004310297314,756.4318848,-0.004443247337,756.4318848,-0.004565807991,756.4318848,-0.004505915567,756.4318848,-0.004204585217,
756.0082397,-0.004445655737,756.0082397,-0.004811747,756.0082397,-0.004042737186,756.0082397,-0.004526819568,756.0082397,-0.004255496431,756.0082397,-0.004745231476,756.0082397,-0.004390922841,756.0082397,-0.004694582429,
755.4432983,-0.004661751911,755.4432983,-0.004999820609,755.4432983,-0.004025451373,755.4432983,-0.004606278148,755.4432983,-0.004636141937,755.4432983,-0.00515148975,755.4432983,-0.004674402997,755.4432983,-0.004491056316,
755.0194702,-0.004843798,755.0194702,-0.004956981633,755.0194702,-0.004429564811,755.0194702,-0.004803810734,755.0194702,-0.004917516373,755.0194702,-0.004961946514,755.0194702,-0.005073308013,755.0194702,-0.004544444382,
