pmppp_10uM,,pmppp_20uM,,pmppp_30uM,,pmppp_40uM,,pmppp_50uM,,pmppp_60uM,,pmppp_70uM,,pmppp_80uM,,pmppp_90uM,,pmppp_100uM,,pmppp_110uM,,pmppp_120uM,,pmppp_130uM,,pmppp_140uM,,pmppp_150uM,,pmppp_160uM,,pmppp_170uM,,pmppp_180uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
785.5029297,-0.0006392750656,785.5029297,-0.0009830710478,785.5029297,-0.0001217505269,785.5029297,-0.0002969658235,785.5029297,-0.0005668949452,785.5029297,-0.0004530269362,785.5029297,0.001354210894,785.5029297,0.0009593314608,785.5029297,0.0002388378343,785.5029297,-0.000873238896,785.5029297,-0.0009128146921,785.5029297,-0.001098452718,785.5029297,-0.001259646495,785.5029297,-0.0005089304759,785.5029297,0.0006118573947,785.5029297,0.0003924791527,785.5029297,0.0003258453507,785.5029297,-0.0008435287746,
784.9441528,-0.0004316151899,784.9441528,-0.00139833265,784.9441528,-0.0001254252857,784.9441528,-0.0007155196508,784.9441528,-0.0003079855524,784.9441528,-0.0001339651062,784.9441528,0.001303500729,784.9441528,0.001099732821,784.9441528,5.221513857E-5,784.9441528,-0.0007117982022,784.9441528,-0.0009241288062,784.9441528,-0.001873462577,784.9441528,-0.001453340636,784.9441528,-0.0002824793337,784.9441528,0.001223851112,784.9441528,0.0002690903202,784.9441528,8.773640729E-5,784.9441528,-0.0007965051918,
784.5250854,-0.0001347931975,784.5250854,-0.001086471835,784.5250854,-0.0002736837487,784.5250854,-0.0005220132298,784.5250854,-0.001448335475,784.5250854,-0.0008162970771,784.5250854,0.001422508969,784.5250854,0.0007592256879,784.5250854,0.0005529136979,784.5250854,-0.0007868931862,784.5250854,-0.0006938623847,784.5250854,-0.001513655647,784.5250854,-0.001445084694,784.5250854,-0.0008054969367,784.5250854,0.001206874265,784.5250854,0.0006599202752,784.5250854,0.0004389889655,784.5250854,-0.001618374372,
783.9661255,-0.0006931904354,783.9661255,-0.001380167087,783.9661255,-0.001027027145,783.9661255,-0.0002943789877,783.9661255,-0.001048822771,783.9661255,-0.001675365842,783.9661255,0.00125863764,783.9661255,0.001389007899,783.9661255,0.0006103797932,783.9661255,-0.0006066538044,783.9661255,-0.001320917509,783.9661255,-0.001424186165,783.9661255,-0.001298980671,783.9661255,-0.0006763393758,783.9661255,0.0007353177061,783.9661255,0.0004315781407,783.9661255,0.0006075024139,783.9661255,-0.001053470885,
783.546814,-0.0003032776294,783.546814,-0.001317820512,783.546814,-0.0003464748734,783.546814,-0.001203478081,783.546814,-0.001476869103,783.546814,-0.0005843190011,783.546814,0.000995627488,783.546814,0.001025284058,783.546814,0.000653983443,783.546814,-0.0006810949417,783.546814,-0.001010808861,783.546814,-0.001654065796,783.546814,-0.001227175002,783.546814,-0.001329691848,783.546814,0.0009289270383,783.546814,0.0006486688508,783.546814,0.0008689805982,783.546814,-0.0008411519229,
782.9876709,-0.0003666493576,782.9876709,-0.001427333918,782.9876709,-0.000961943646,782.9876709,-0.001172086806,782.9876709,-0.001410717727,782.9876709,-0.001492605661,782.9876709,0.001583480509,782.9876709,0.001029435662,782.9876709,-0.0001870634878,782.9876709,-0.0008656436112,782.9876709,-0.001352246501,782.9876709,-0.001670724247,782.9876709,-0.001628896454,782.9876709,-0.0008675553836,782.9876709,0.0007951160078,782.9876709,0.0001771738171,782.9876709,0.0006563944626,782.9876709,-0.001177249942,
782.5682373,-0.000764205819,782.5682373,-0.00146092556,782.5682373,-0.0001257358381,782.5682373,-0.0008428053698,782.5682373,-0.001476353151,782.5682373,-0.0005847843131,782.5682373,0.001079361304,782.5682373,0.001036519301,782.5682373,0.0003098620218,782.5682373,-0.001501634601,782.5682373,-0.0007974870387,782.5682373,-0.001564625301,782.5682373,-0.00135085301,782.5682373,-0.001137285144,782.5682373,0.000554416969,782.5682373,0.0004407250672,782.5682373,0.0006888798671,782.5682373,-0.001244830666,
782.0089111,-0.0008062720299,782.0089111,-0.001464073081,782.0089111,-0.0007350568194,782.0089111,-0.0008739622426,782.0089111,-0.0009270735318,782.0089111,0.0002100636484,782.0089111,0.0008830651059,782.0089111,0.0009543244378,782.0089111,0.0003130223777,782.0089111,-0.001124943839,782.0089111,-0.0008644035552,782.0089111,-0.001525727916,782.0089111,-0.001530009904,782.0089111,-0.0009360625409,782.0089111,0.0004725723993,782.0089111,0.0002715769224,782.0089111,0.0005888129235,782.0089111,-0.001388579025,
781.4494019,-0.0004355976416,781.4494019,-0.001847945037,781.4494019,-0.0005425415002,781.4494019,-0.001133515616,781.4494019,-0.001635807799,781.4494019,-5.151002188E-5,781.4494019,0.000960472913,781.4494019,0.0007561139064,781.4494019,0.0001332296233,781.4494019,-0.0008688470698,781.4494019,-0.001264808699,781.4494019,-0.00183438661,781.4494019,-0.001579997595,781.4494019,-0.001175391255,781.4494019,0.0001377869776,781.4494019,0.000389991852,781.4494019,0.0002886985894,781.4494019,-0.001351110986,
781.0297241,-0.001484092558,781.0297241,-0.001769733499,781.0297241,-0.001042315154,781.0297241,-0.001450554235,781.0297241,-0.001528926543,781.0297241,0.0002006108116,781.0297241,0.001105753705,781.0297241,0.0003046293568,781.0297241,-9.623336518E-5,781.0297241,-0.0009966560174,781.0297241,-0.001718168962,781.0297241,-0.001478107413,781.0297241,-0.001684597228,781.0297241,-0.0008883773116,781.0297241,0.0007094664034,781.0297241,0.0005241446197,781.0297241,0.0007724248571,781.0297241,-0.001517834491,
