pmpp_10uM,,pmpp_20uM,,pmpp_30uM,,pmpp_40uM,,pmpp_50uM,,pmpp_60uM,,pmpp_70uM,,pmpp_80uM,,pmpp_90uM,,pmpp_100uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
761.510498,-0.001728946459,761.510498,-0.001377896406,761.510498,-0.001233937917,761.510498,-0.001426353469,761.510498,-0.0003193671582,761.510498,-0.002069820184,761.510498,-0.0016414813,761.510498,-0.0008345378446,761.510498,-0.001379341353,761.510498,-0.001917483285,
760.9466553,-0.001870575827,760.9466553,-0.00112783548,760.9466553,-0.00105558848,760.9466553,-0.001874906011,760.9466553,-0.0004192020861,760.9466553,-0.001985979732,760.9466553,-0.001548169181,760.9466553,-0.0007026494714,760.9466553,-0.001644678996,760.9466553,-0.00175488356,
760.5237427,-0.002135149902,760.5237427,-0.001568081556,760.5237427,-0.0005976579851,760.5237427,-0.002159620402,760.5237427,-0.0004674560041,760.5237427,-0.001910834108,760.5237427,-0.002009582473,760.5237427,-0.0008947321912,760.5237427,-0.001519433921,760.5237427,-0.001715693739,
759.9597168,-0.001800978556,759.9597168,-0.001420264365,759.9597168,-0.001654323656,759.9597168,-0.002113511786,759.9597168,-4.038023326E-5,759.9597168,-0.002373973373,759.9597168,-0.002365477616,759.9597168,-0.0001906341931,759.9597168,-0.001562871388,759.9597168,-0.001795616467,
759.5366211,-0.002217210364,759.5366211,-0.001355807646,759.5366211,-0.001447148737,759.5366211,-0.002290860983,759.5366211,-0.0008856906788,759.5366211,-0.002425048267,759.5366211,-0.002162093064,759.5366211,-0.001312039676,759.5366211,-0.00187294709,759.5366211,-0.00180634053,
758.9723511,-0.002066470915,758.9723511,-0.001756224199,758.9723511,-0.0014636087,758.9723511,-0.001788346679,758.9723511,-0.0006721006939,758.9723511,-0.001862585545,758.9723511,-0.001849543187,758.9723511,-0.0009095082642,758.9723511,-0.001333046705,758.9723511,-0.002015199512,
758.5491333,-0.002073324053,758.5491333,-0.001807268476,758.5491333,-0.001819126424,758.5491333,-0.002080176724,758.5491333,-0.0007146410062,758.5491333,-0.002267582575,758.5491333,-0.002469167346,758.5491333,-0.001053419313,758.5491333,-0.001802782994,758.5491333,-0.002120106481,
757.9846802,-0.002076621633,757.9846802,-0.001781231491,757.9846802,-0.001411595033,757.9846802,-0.002472873777,757.9846802,-0.0007453418802,757.9846802,-0.002915410558,757.9846802,-0.00231382926,757.9846802,-0.001139247324,757.9846802,-0.002103465144,757.9846802,-0.002094500232,
757.5612793,-0.002429887652,757.5612793,-0.001933410065,757.5612793,-0.001399880741,757.5612793,-0.002376135904,757.5612793,-0.0008237381699,757.5612793,-0.002557135187,757.5612793,-0.0019064527,757.5612793,-0.001201619511,757.5612793,-0.001744158217,757.5612793,-0.002049982315,
756.9966431,-0.002379431389,756.9966431,-0.002180019859,756.9966431,-0.001305432757,756.9966431,-0.002341379179,756.9966431,-0.0008796456386,756.9966431,-0.002868507756,756.9966431,-0.002192588756,756.9966431,-0.00100347423,756.9966431,-0.001840882353,756.9966431,-0.002258930122,
