pp_1mM,,pp_500uM,,pp_250uM,,pp_125uM,,pp_62uM,,pp_31uM,,pp_15uM,,pp_7uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
751.4852905,-0.002791200066,751.4852905,-0.002921375912,751.4852905,-0.003222723724,751.4852905,-0.003072795691,751.4852905,-0.003033776069,751.4852905,-0.002972540446,751.4852905,-0.002905588131,751.4852905,-0.003268971574,
751.0609131,-0.003244871972,751.0609131,-0.002929346636,751.0609131,-0.00335199968,751.0609131,-0.003337974427,751.0609131,-0.003064981662,751.0609131,-0.003330319421,751.0609131,-0.0031211155,751.0609131,-0.003637082409,
750.4949341,-0.00308323116,750.4949341,-0.003275548574,750.4949341,-0.003385185963,750.4949341,-0.003846140578,750.4949341,-0.003334634937,750.4949341,-0.003227245994,750.4949341,-0.003277809359,750.4949341,-0.003561451798,
750.0703735,-0.003437580075,750.0703735,-0.003295844421,750.0703735,-0.003320352174,750.0703735,-0.003319273237,750.0703735,-0.003710441291,750.0703735,-0.003287674859,750.0703735,-0.003623939119,750.0703735,-0.003534389893,
749.5042114,-0.003669476835,749.5042114,-0.003511434887,749.5042114,-0.003588665975,749.5042114,-0.003490738338,749.5042114,-0.003534030635,749.5042114,-0.003660133574,749.5042114,-0.003818634665,749.5042114,-0.004092487507,
748.9379272,-0.003785738256,748.9379272,-0.003832028713,748.9379272,-0.00400447147,748.9379272,-0.004363246728,748.9379272,-0.004077665508,748.9379272,-0.003950503655,748.9379272,-0.004024271388,748.9379272,-0.004017089959,
748.5131226,-0.004137668759,748.5131226,-0.003737081541,748.5131226,-0.003779835999,748.5131226,-0.004024168942,748.5131226,-0.004001598805,748.5131226,-0.0036481719,748.5131226,-0.004194740672,748.5131226,-0.004839906935,
747.9465942,-0.003870771499,747.9465942,-0.004162333906,747.9465942,-0.004225760698,747.9465942,-0.004377495032,747.9465942,-0.004041403532,747.9465942,-0.00392500544,747.9465942,-0.004183716606,747.9465942,-0.004532250576,
747.5216675,-0.004194176756,747.5216675,-0.004359299783,747.5216675,-0.004498946946,747.5216675,-0.004582047928,747.5216675,-0.004649715498,747.5216675,-0.00438702805,747.5216675,-0.004371857271,747.5216675,-0.00444514351,
746.9549561,-0.004382517654,746.9549561,-0.004230938852,746.9549561,-0.004599260166,746.9549561,-0.00465919124,746.9549561,-0.004454982467,746.9549561,-0.004164333921,746.9549561,-0.004314603284,746.9549561,-0.004276925698,
